doc_id,title,year,doc_type,num_pages,num_chunks
2606.10380,Expert-Level Crisis Detection in Mental Health Conversations,2026,cs.CL,25,62
2606.10381,Agentic Hybrid RAG for Evidence-Grounded Muon Collider Analysis,2026,hep-ex,22,35
2606.10398,"Selection, Not Salience: The Shape and Limits of Personalization in Social Highlighting",2026,cs.IR,9,17
2606.10400,Do Vision-Language Models See or Guess? Measuring and Reducing Textual-Prior Reliance with a Phrasin,2026,cs.CL,17,53
2606.10402,Harnessing the Collective Intelligence of AI Agents in the Wild for New Discoveries,2026,cs.CL,26,48
2606.10403,KCSAT-ML: Probing Reasoning Models with Nationwide-Cohort Human Difficulty,2026,cs.CL,18,51
2606.10423,WebChallenger: A Reliable and Efficient Generalist Web Agent,2026,cs.CL,38,81
2606.10428,Which LoRA? An Empirical Study on the Effectiveness of LoRA Techniques During Multilingual Instructi,2026,cs.CL,10,29
2606.10435,Parallel Causal Associative Fields: Gated Sparse Memory for Long-Context Language Modeling,2026,cs.LG,17,33
2606.10439,Enhancing Multilingual LLM-based ASR with Mixture of Experts and Dynamic Downsampling,2026,cs.SD,5,15
2606.10445,SpenseGPT: Practical One-shot Pruning Enabling Sparse and Dense GEMMs for LLM Inference,2026,cs.LG,10,26
2606.10459,Leveraging Social Media Data for COVID-19 Studies,2026,cs.SI,8,16
2606.10460,LakeQA: An Exploratory QA Benchmark over a Million-Scale Data Lake,2026,cs.CL,28,67
2606.10461,ERAlign: Energy-based Representation Alignment of GNNs and LLMs on Text-attributed Graphs,2026,cs.LG,22,66
2606.10467,Large Language Models as Modal Models in Linguistics,2026,cs.CL,24,42
2606.10471,Detecting Speculative Language in Biomedical Texts using Recurrent Neural Tensor Networks,2026,cs.CL,12,17
2606.10475,Decoupling Thought from Speech: Knowledge-Grounded Counterfactual Reasoning for Resilient Multi-Agen,2026,cs.MA,11,24
2606.10481,Advancing the State-of-the-Art in Empirical Privacy Auditing,2026,cs.LG,23,53
2606.10520,UniSVQ: 2-bit Unified Scalar-Vector Quantization,2026,cs.CL,13,43
2606.10528,Representation-Aware Advantage Estimation: Your Reward Model Provides More Than A Scalar Output,2026,cs.LG,13,39
2606.10531,LC-QAT: Data-Efficient 2-Bit QAT for LLMs via Linear-Constrained Vector Quantization,2026,cs.CL,14,45
2606.10537,Prefilling-dLLM: Predictive Prefilling for Long-Context Inference in Diffusion Language Models,2026,cs.CL,16,47
2606.10554,Benchmarking Knowledge Editing using Logical Rules,2026,cs.CL,17,29
2606.10569,Hidden Consensus:Preference-Validity Compression in Human Feedback,2026,cs.CL,28,49
2606.10581,ParaBridge: Bridging Paralinguistic Perception and Dialogue Behavior in Speech Language Models,2026,cs.CL,23,70
2606.10587,Towards Diverse Scientific Hypothesis Search with Large Language Models,2026,cs.LG,41,102
2606.10592,Dirichlet-Guided Group Forecasting for Alleviating Over-smoothing in Time Series Forecasting,2026,cs.LG,21,69
2606.10595,From Data Heterogeneity to Convergence: A Data-Centric Review of Federated Learning,2026,cs.CR,64,130
2606.10596,Embedding Hybrid Systems into Continuous Latent Vector Fields,2026,cs.LG,32,74
2606.10600,Toward Proactive RF Charging Scheduling: Generative AI for Decision Support,2026,eess.SY,8,20
2606.10601,Dmsh: A Multi-Agent Reinforcement Learning Framework for All-Quad Mesh Generation,2026,math.NA,33,54
2606.10607,Causal Ensemble Agent: Hierarchical Causal Discovery with LLM-guided Expert Reweighting,2026,cs.LG,29,70
2606.10610,"Small Data, Big Noise: Adversarial Training for Robust Parameter-Efficient Fine-Tuning",2026,cs.CL,24,56
2606.10611,Geometry-Aware Reinforcement Learning for 2D Irregular Nesting,2026,cs.LG,15,32
2606.10613,Fast and Highly Expressive Policy Learning for Offline Reinforcement Learning via Bootstrapped Flow ,2026,cs.LG,19,57
2606.10614,Dexterous Point Policy: Learning Point-based Dexterous Hand Policies from Human Demonstrations,2026,cs.RO,23,44
2606.10616,Learning What to Remember: Observability-Safe Memory Retention via Constrained Optimization for Long,2026,cs.AI,17,34
2606.10620,Can Image Models Imagine Time? ImageTime: A Novel Benchmark for Probing Visual World Modeling Throug,2026,cs.CV,63,101
2606.10621,STORM: Stepwise Token Optimization with Reward-Guided Beam Search,2026,cs.IR,16,55
2606.10627,Profy: Interpretable Visualization of Expertise-Dependent Motor Skills Toward Supporting Piano Pract,2026,cs.HC,18,60
2606.10632,Is Fairness Truly Fair? Towards Reliable Lipschitz Fairness in Multi-Task Learning via Fixed-\texorp,2026,cs.LG,12,46
2606.10642,PhysMetrics.Weather: An Evaluation Framework for Physical Consistency in ML Weather Models,2026,cs.LG,25,54
2606.10646,How Does Reasoning Flow? Tracing Attention-Induced Information Flow for Targeted RL in LLMs,2026,cs.LG,25,64
2606.10650,Dynamic Linear Attention,2026,cs.CL,12,30
2606.10654,Speaker Group Encoding in Self-supervised Speech Recognition Models,2026,cs.CL,10,23
2606.10657,Are We Evaluating Knowledge or Phrasing? Mitigating MCQA Sensitivity with ParaEval,2026,cs.CL,30,68
2606.10658,Post-Quantum Secure Federated DeFi for Inclusive Banking,2026,cs.CR,8,24
2606.10660,Accounting for AI Inference in Corporate GHG Inventories: A Four-Tier Methodology for Scope 3 Catego,2026,cs.CY,17,30
2606.10662,Decentralized Multi-Agent Systems with Shared Context,2026,cs.MA,23,45
2606.10669,In Defense of Information Leakage in Concept-based Models,2026,cs.LG,19,59
2606.10673,ClusBench: The Clustering Benchmark Data Resource You've All Been Waiting For (?),2026,stat.OT,25,27
2606.10675,Multilingual Word-Level Forced Alignment with Self-Supervised Representations and Learned Dynamic Pr,2026,cs.CL,5,17
2606.10677,Infini Memory: Maintainable Topic Documents for Long-Term LLM Agent Memory,2026,cs.AI,14,32
2606.10678,One Step Closer to Ground Truth: A Multi-Scale Residual-Aware Representation Learning Pipeline for P,2026,cs.LG,20,87
2606.10682,PL-KKT-hPINN: Enforcing Nonlinear Equality Constraints on Neural Networks via Piecewise-Linear Proje,2026,cs.LG,18,34
2606.10683,UniDexTok: A Unified Dexterous Hand Tokenizer from Real Data,2026,cs.RO,11,23
2606.10684,Divide and Cooperate: Role-Decomposed Multi-Agent LLM Training with Cross-Agent Learning Signals,2026,cs.LG,20,53
2606.10686,An adaptive framework for the axisymmetric pulsar magnetosphere using physics-informed Kolmogorov-Ar,2026,physics.comp-ph,25,74
2606.10692,Do LLMsMakeNeural Distinguishers Wise?,2026,cs.CR,9,27
2606.10694,REAL: A Reasoning-Enhanced Graph Framework for Long-Term Memory Management of LLMs,2026,cs.CL,14,57
2606.10698,Efficient AI-Inspired Reduction of Feynman Integrals via Tube Seeding,2026,hep-ph,61,113
2606.10699,Using the YOLOv12 Model for Verifying the Correct Color Sequence of Wires in Network Cables (Patch C,2026,cs.CV,21,66
2606.10703,From Observation to Intervention: A Causal Audit of Expert Importance in Mixture-of-Experts Models,2026,cs.LG,9,22
2606.10705,Event-Driven Reinforcement Learning Enables Long-Horizon Control in Semiconductor Fabrication,2026,cs.LG,63,111
2606.10706,"Unifying Data, Memory, and Compute Efficiency in LLM training: A Survey",2026,cs.LG,21,76
2606.10709,Effective Reinforcement Learning for Agentic Search by Recycling Zero-Variance Queries During Traini,2026,cs.IR,13,38
2606.10713,++nnU-Net: Scaling nnU-Net with Prefix-Based Data Augmentation,2026,eess.IV,7,14
2606.10716,Attention Expansion: Enhancing Keyphrase Extraction from Long Documents with Attention-Augmented Con,2026,cs.CL,17,42
2606.10718,Transformer Based Model for Spatiotemporal Feature Learning in EEG Emotion Recognition,2026,cs.LG,24,46
2606.10722,Continual LLM Upcycling: A Predictor-Gated Bank-Wise Sparsity Training Recipe for Dense-to-Sparse LL,2026,cs.CL,15,32
2606.10725,Pre-AF 13: An Interpretable Atrial Fibrillation Risk Score Mined from Discharge Reports,2026,cs.LG,33,57
2606.10734,SPACR: Single-Pass Adaptive Training of Uncertainty-Aware Conformal Regressors,2026,cs.LG,22,80
2606.10736,Detecting Knowledge Gaps from Conversational AI Interactions Using Curriculum Prerequisite Graphs,2026,cs.CL,8,17
2606.10738,Spatial-Omni: Spatial Audio Understanding Integration in Multimodal LLMs via FOA Encoding,2026,eess.AS,24,66
2606.10740,When the Chain of Thought Knows Better: Failure Modes in Multi-Turn Reasoning Models,2026,cs.AI,11,27
2606.10742,MemVenom: Triggered Poisoning of Multimodal Memories in Web Agents,2026,cs.CR,27,50
2606.10747,The Arbiter Agent: Continually Monitoring Multi-Agent Conversations to Detect Emergent Misalignment,2026,cs.AI,11,39
2606.10749,"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation",2026,cs.CR,42,116
2606.10752,AutoPDE: Reliable Agentic PDE Solving via Explicitly Represented Solver Strategies,2026,cs.AI,17,44
2606.10765,ArabiGEE: A Hierarchical Taxonomy for Arabic Grammatical Error Explanation,2026,cs.CL,22,62
2606.10768,N-GRPO: Embedding-Level Neighbor Mixing for Enhanced Policy Optimization,2026,cs.LG,16,40
2606.10770,Correcting Variable Importance Scored by Random Forests,2026,stat.ME,22,40
2606.10771,On-sky demonstration of reinforcement learning for adaptive optics control,2026,astro-ph.IM,14,46
2606.10774,Inverse Probability Weighting and Age-of-Information Aggregation for Decentralized Federated Learnin,2026,cs.LG,14,44
2606.10777,Can we trust our models? Epistemic calibration in second-order classification,2026,cs.LG,19,45
2606.10780,Secure Aggregation with Top-K Sparsification in Decentralized Federated Learning,2026,cs.IT,6,23
2606.10781,Recovering the Zipfian Distribution in Unsupervised Term Discovery,2026,eess.AS,7,24
2606.10782,A Bayesian Network Approach for Enhancing Security-Focused Decision Support Systems,2026,cs.CR,7,21
2606.10787,Accelerating NeurASP with vectorization and caching,2026,cs.AI,16,32
2606.10789,Closing the Modality Gap in Zero-Shot HAR: Contrastive Training and Separability-Optimized Prototype,2026,cs.LG,17,29
2606.10794,READER: Robust Evidence-based Authorship Decoding via Extracted Representations,2026,cs.AI,41,117
2606.10796,Dep-LLM: Training-Free Depression Diagnosis via Evidence-Guided Structured Multi-factor with Reliabl,2026,cs.CL,13,58
2606.10798,CITRAS-FM: Tiny Time Series Foundation Model for Covariate-Informed Zero-Shot Forecasting,2026,cs.LG,5,18
2606.10799,Evaluating Research-Level Math Proofs via Strict Step-Level Verification,2026,cs.AI,17,49
2606.10802,Boosting ECG Classification Performance by Pre-training with Synthesized Data,2026,cs.LG,21,41
2606.10803,Beyond APIs: Probing the Limits of MLLMs in Physical Tool Use,2026,cs.CL,19,48
2606.10806,Moonshine: An Autonomous Mathematical Research Agent Centered on Conjecture Generation,2026,cs.AI,14,27
2606.10813,RedAct: Redacting Agent Capability Traces for Procedural Skill Protection,2026,cs.CR,24,60
2606.10819,Earth-OneVision: Extending Remote Sensing Multimodal Large Language Models to More Sensor Modalities,2026,cs.CV,18,82
2606.10820,K-Forcing: Joint Next-K-Token Decoding via Push-Forward Language Modeling,2026,cs.LG,26,64
2606.10824,Encoding the Euler Characteristic Transform,2026,cs.LG,18,35
2606.10825,MODIP: Efficient Model-Based Optimization for Diffusion Policies,2026,cs.LG,15,32
2606.10827,A Unified Siamese Learning Framework for Zero-Day Anomaly Detection and Classification in Optical Ne,2026,cs.NI,4,9
2606.10829,Attention-Discounted Adaptive Sampler for Masked Diffusion Language Models,2026,cs.CL,18,39
2606.10833,Do VLMs Reason Like Engineers? A Benchmark and a Stage-wise Evaluation,2026,cs.AI,50,97
2606.10835,Geometrically Averaged Hard Target Updates for Linear Q-Learning,2026,cs.LG,32,68
2606.10842,ConvMemory v2: A Recall-Preserving Top-10 Evidence Reranker for Conversational Memory Retrieval,2026,cs.CL,19,35
2606.10852,Janus: A Benchmark for Goal-Conditioned Information Distortion in LLMs,2026,cs.CL,19,41
2606.10857,Embodiment-conditioned Generalist Control for Multirotor Aerial Robots,2026,cs.RO,18,33
2606.10860,Training LLMs to Enforce Multi-Level Instruction Hierarchies via Gravity-Weighted Direct Preference ,2026,cs.CR,39,115
2606.10861,From Perception to Action: Can UI Interventions Foster Sustainable LLM Chatbot,2026,cs.SE,21,38
2606.10862,LIBERO-Occ: Evaluating and Improving Vision-Language-Action Models under Scene-Induced Occlusion via,2026,cs.CV,14,33
2606.10868,When Do Autoregressive Sequence Models Forecast Physical Wavefields? A Controlled Study on Synthetic,2026,cs.LG,16,35
2606.10875,Pushing the Limits of LLM Tool Calling via Experiential Knowledge Integration and Activation,2026,cs.CL,28,64
2606.10877,XtrAIn: Training-Guided Occlusion for Feature Attribution,2026,cs.LG,12,43
2606.10881,Large-scale semantic mapping of learner agency and autonomy reveals what measurement and generative ,2026,cs.AI,45,95
2606.10889,Sleep EEG Signal Criticality as a Non-Invasive Predictor of Cognitive Decline in Dementia,2026,q-bio.NC,4,14
2606.10890,Optimal Post-Training Quantization Scales and Where to Find Them,2026,cs.LG,27,79
2606.10892,Improving Text-Instance Alignment Of Foreground Conditioned Out-Painting Via Customized Concept Embe,2026,cs.CV,6,18
2606.10896,Flash-GMM: A Memory-Efficient Kernel for Scalable Soft Clustering,2026,cs.LG,12,35
2606.10902,Pose-ICL: 3D-Aware In-Context Learning for Pose-Controllable Subject Customization,2026,cs.CV,18,42
2606.10906,Human-AI Teaming Through the Lens of Calibration,2026,stat.ML,19,46
2606.10908,RAT: Reference-Augmented Training for ASV Anti-Spoofing,2026,cs.SD,6,20
2606.10909,Non-linear mechanical field reconstruction coupling recurrent neural networks with physics-informed ,2026,cs.CE,37,65
2606.10911,Ethical and Technical Limits of Deepfake Speech Datasets,2026,cs.SD,6,25
2606.10912,What Do Deepfake Speech Detectors Actually Hear?,2026,cs.SD,6,21
2606.10913,Conservation Laws from Data Symmetry in Neural Networks,2026,cs.LG,31,78
2606.10916,Range Penalization: Theoretical Insights with Applications in Federated Learning,2026,stat.ML,40,130
2606.10917,Role-Agent: Bootstrapping LLM Agents via Dual-Role Evolution,2026,cs.AI,20,49
2606.10918,Task Robustness via Re-Labelling Vision-Action Robot Data,2026,cs.RO,8,24
2606.10921,Trace Only What You Need: Structure-Aware On-Demand Hypergraph Memory for Long-Document Question Ans,2026,cs.CL,27,73
2606.10928,A Constrained Natural-Language Interface for Variational Multi-Physics Finite Element Simulations in,2026,cs.CE,23,51
2606.10929,Recoverable but Not Stationary:Local Linear Structures in Weights and Activations,2026,cs.LG,23,46
2606.10931,It Takes One to Bias Them All: Breaking Bad with One-Shot GRPO,2026,cs.CL,26,71
2606.10933,Frontier Coding Agents Use Metaprogramming to Adapt to Unfamiliar Programming Languages,2026,cs.AI,43,98
2606.10934,WorldKernel: A World Model is the Coupling Kernel of Admissible Possible Worlds,2026,cs.AI,26,55
2606.10935,CLP: Collocation-Length Prediction for Zero-Loss Adaptive Multi-Token Inference,2026,cs.LG,9,28
2606.10937,Provenance Tracking in AI Compilers through the Lens of Coalgebra,2026,cs.DB,13,26
2606.10938,A Systematic Approach for Selecting Trajectories for Data Augmentation,2026,cs.LG,45,75
2606.10940,Democratising Camera Trap AI: An Open-Source Model for Detecting UK Mammals,2026,cs.CV,15,48
2606.10942,Generative Explainability for Next-Generation Networks: LLM-Augmented XAI with Mutual Feature Intera,2026,cs.NI,7,20
2606.10944,Express Language Modeling,2026,cs.LG,22,56
2606.10949,Recalling Too Well: Sycophancy Evaluation and Mitigation in Memory-Augmented Models,2026,cs.AI,26,56
2606.10953,Architect-Ant: Editable Automatic Furnishing of Architectural Floor Plans,2026,cs.AI,17,50
2606.10956,Mind the Gap: Can Frontier LLMs Pass a Standardized Office Proficiency Exam?,2026,cs.AI,21,52
2606.10959,Population-Aware Physics-Informed Neural Particle Flow for Bayesian Update,2026,cs.LG,8,24
2606.10968,Beyond Uniform Token-Level Trust Region in LLM Reinforcement Learning,2026,cs.LG,38,72
2606.10972,Optimizing 2D Input Representations and Sub-phase Fusion Strategies for Differential Diagnosis of As,2026,eess.AS,20,55
2606.10975,Learning Doubly Sparse Explicitly Conditioned Transforms,2026,cs.LG,10,25
2606.10979,Bellman-Taylor Score Decoding for Markov Decision Processes with State-Dependent Feasible Action Set,2026,cs.AI,25,54
2606.10989,Null-Space Constrained Low-Rank Adaptation for Response-Specified Large Language Model Unlearning,2026,cs.AI,12,39
2606.11007,Understanding and mitigating the risks of OpenClaw for non-technical users: A practical guide with S,2026,cs.CR,17,29
2606.11009,Who Brought Easter Eggs to Eid? Auditing Cultural Translation of Math Word Problems Across Diverse L,2026,cs.CL,17,52
2606.11015,"Structure from Reasoning, Numbers from Search: On-Premise Open LLMs as Structural Priors for Coupled",2026,cs.AI,10,34
2606.11016,Superficial Beliefs in LLM Decision-Making,2026,cs.AI,19,42
2606.11017,Data-Driven Runway and Taxiway Exits Prediction of Landing Aircraft: A Case Study at Hartsfield-Jack,2026,cs.LG,54,80
2606.11018,Measuring Human Value Expression in Social Media Texts: Calibrated LLM Annotation and Encoder Transf,2026,cs.CL,21,42
2606.11019,Diffusion Forcing Planner: History-Annealed Planning with Time-Dependent Guidance for Autonomous Dri,2026,cs.RO,13,36
2606.11023,Generative Archetype-Grounded Item Representations for Sequential Recommendation,2026,cs.IR,12,44
2606.11025,Flow-DPPO: Divergence Proximal Policy Optimization for Flow Matching Models,2026,cs.LG,30,66
2606.11033,AuRA: Internalizing Audio Understanding into LLMs as LoRA,2026,cs.LG,12,34
2606.11042,Workflow-GYM: Towards Long-Horizon Evaluation of Computer-use Agentic tasks in Real-World Profession,2026,cs.AI,31,62
2606.11044,Generalized Conformal Predictive Systems Under Distributional Shifts,2026,stat.ML,27,103
2606.11045,What Fits (Into Few Tokens) Doesn't Overfit: Compression and Generalization in ML Research Agents,2026,cs.AI,23,54
2606.11046,Does Reasoning Preserve Alignment? On the Trustworthiness of Large Reasoning Models,2026,cs.CL,42,86
2606.11052,"Attention Amnesia in Hybrid LLMs: When CoT Fine-Tuning Breaks Long-Range Recall, and How to Fix It",2026,cs.CL,28,71
2606.11057,Flexible Kernels for Protein Property Prediction,2026,cs.LG,50,166
2606.11063,CIAware-Bench: Benchmarking Control Intervention Awareness Across Frontier LLMs,2026,cs.AI,44,108
2606.11066,GRAFT: Gain-Recalibrated Adapters for Transformer-Based Neural Population Activity Modeling,2026,cs.LG,10,29
2606.11070,T1-Bench: Benchmarking Multi-Scenario Agents in Real-World Domains,2026,cs.CL,44,140
2606.11074,Modeling Complex Behaviors: Multi-Personality Composition and Dynamic Switching in Vision-Language M,2026,cs.CL,16,51
2606.11075,Exploring the Design Space of Reward Backpropagation for Flow Matching,2026,cs.LG,32,62
2606.11078,A History-Aware Visually Grounded Critic for Computer Use Agents,2026,cs.AI,29,71
2606.11079,VISTA: A Versatile Interactive User Simulation Toolkit for Agent Evaluation,2026,cs.CL,18,39
2606.11081,Unifying Local Communications and Local Updates for LLM Pretraining,2026,cs.LG,38,83
2606.11082,The Shibboleth Effect: Auditing the Cross-Lingual Distributional Skew of Large Language Models,2026,cs.CL,25,33
2606.11087,Test-Time Gradient Guidance of Flow Policies in Reinforcement Learning,2026,cs.LG,28,70
2606.11092,"RoboNaldo: Accurate, Stable and Powerful Humanoid Soccer Shooting via Motion-Guided Curriculum Reinf",2026,cs.RO,16,36
2606.11098,Do Transformers Actually Help Intrusion Detection? A Temporal Sequence Evaluation on CIC-IDS2017,2026,cs.CR,11,40
2606.11104,Limitations of Learning Tanh Neural Networks with Finite Precision,2026,cs.LG,30,67
2606.11105,PhantomBench: Benchmarking the Non-existential Threat of Language Models,2026,cs.CL,20,56
2606.11106,FADA: Accessible fetal ultrasound interpretation and annotation with a selectively distilled unified,2026,cs.CV,31,53
2606.11107,Multimodal Brain Tumour Classification Using Feature Fusion,2026,eess.IV,4,8
2606.11116,"Designed by Journalists, but Is It for Readers? Rethinking AI Disclosures and Transparency in News",2026,cs.CY,4,10
2606.11117,Towards Autonomous Accelerator Design: FPGA Accelerator Generation with SECDA,2026,cs.AR,6,19
2606.11118,Data-Driven Dynamic Assortment in Online Platforms: Learning about Two Sides,2026,cs.LG,63,135
2606.11119,TRACE: A Unified Rollout Budget Allocation Framework for Efficient Agentic Reinforcement Learning,2026,cs.LG,32,81
2606.11120,Monte Carlo Pass Search: Using Trajectory Generation for 3D Counterfactual Pass Evaluation in Footba,2026,cs.AI,10,24
2606.11123,Overcoming Rank Collapse in Feedback Alignment,2026,cs.LG,28,58
2606.11125,"DMT: Demographic Conditioning, Morphology-Enhanced Transformer for Cuffless Blood Pressure Estimatio",2026,eess.SP,7,27
2606.11127,Provenance-Grounded Gating and Adaptive Recovery in Synthetic Post-Training Data Curation,2026,cs.CL,14,29
2606.11130,Robust Regression of General ReLUs with Queries,2026,cs.LG,47,130
2606.11138,"First-Order Trajectory Matching: Fast Ensemble Predictions of Chaotic, Turbulent, Stochastic Systems",2026,cs.LG,46,93
2606.11140,Data assimilation for subsurface flow using latent diffusion model parameterization: performance of ,2026,physics.geo-ph,41,73
2606.11144,OncoTraj: a public benchmark for longitudinal resistance prediction in EGFR-mutant non-small-cell lu,2026,cs.LG,24,44
2606.11149,Efficiently Learning Drifting Halfspaces with Massart Noise,2026,cs.LG,40,99
2606.11150,ABC-Bench: An Agentic Bio-Capabilities Benchmark for Biosecurity,2026,cs.AI,18,42
2606.11156,Itô maps for any-step SDEs,2026,stat.ML,28,63
2606.11162,COGENT: Continuous Graph Emulators with Neural Ordinary Differential Equations for Long-Term Physica,2026,cs.LG,12,46
2606.11164,ReasonAlloc: Hierarchical Decoding-Time KV Cache Budget Allocation for Reasoning Models,2026,cs.AI,23,46
2606.11166,Flaws in the LLM Automation Narrative,2026,stat.OT,36,61
2606.11167,Multi-Faceted Interactivity Alignment in Full-Duplex Speech Models,2026,cs.CL,15,46
2606.11169,Piper: A Programmable Distributed Training System,2026,cs.DC,15,53
2606.11171,Algorithmic and Minimax Complexities in Kernel Bandits,2026,cs.LG,18,38
2606.11172,Predicting Future Behaviors in Reasoning Models Enables Better Steering,2026,cs.LG,31,237
2606.11173,The Role of Feedback Alignment in Self-Distillation,2026,cs.AI,31,51
2606.11176,Data Journalist Agent: Transforming Data into Verifiable Multimodal Stories,2026,cs.CV,32,58
2606.11182,EEVEE: Towards Test-time Prompt Learning in the Real World for Self-Improving Agents,2026,cs.LG,19,36
2606.11189,A Unifying Lens on Supervised Fine-Tuning Through Target Distribution Design,2026,cs.LG,24,50
2606.11190,"When to Align, When to Predict: A Phase Diagram for Multimodal Learning",2026,cs.LG,21,47
